SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
1.102-2,Performance standards.,(2) The System must provide uniformity where it contributes to efficiency or where fairness or predictability is essential.,subj_verb_obj_01,The System must provide uniformity
1.102-2,Performance standards.,"(3) The Government shall exercise discretion, use sound business judgment, and comply with applicable laws and regulations in dealing with contractors and prospective contractors.",subj_verb_obj_01,The Government shall exercise discretion
1.102-4,Role of the acquisition team.,(d) The System will foster cooperative relationships between the Government and its contractors consistent with its overriding responsibility to the taxpayers.,subj_verb_obj_01,The System will foster cooperative relationships
2.101,Definitions.=,"These projections may include rates for such things as labor, indirect costs, material obsolescence and usage, spare parts provisioning, and material handling.",subj_verb_obj_01,These projections may include rates
2.101,Definitions.=,"The elements may include hardware, equipment, software, or any combination thereof, but exclude construction or other improvements to real property.",subj_verb_obj_01,The elements may include hardware
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"The request must include information about the— (1) Procurement(s), or decision(s) on matters under 3.104-3(d)(1)(iii), involving the particular contractor, in which the individual was or is involved, including contract or solicitation numbers, dates of solicitation or award, a description of the supplies or services procured or to be procured, and contract amount; (2) Individual's participation in the procurement or decision, including the dates or time periods of that participation, and the nature of the individual's duties, responsibilities, or actions; and (3) Contractor, including a description of the products or services produced by the division or affiliate of the contractor from whom the individual proposes to accept compensation.",subj_verb_obj_01,The request must include information
3.906,Remedies.,"In any action brought under this section, the court may grant appropriate relief, including injunctive relief and compensatory and exemplary damages.",subj_verb_obj_01,the court may grant appropriate relief
3.907-6,Remedies and enforcement authority.,"In any action brought under this section, the court may grant appropriate relief, including injunctive relief, compensatory and exemplary damages, and attorneys fees and costs.",subj_verb_obj_01,the court may grant appropriate relief
3.908-7,Enforcement of orders.,"In any action brought pursuant to this authority, the court may grant appropriate relief, including injunctive relief, compensatory and exemplary damages, and attorney fees and costs.",subj_verb_obj_01,the court may grant appropriate relief
4.1603,Procedures.,An agency may reserve blocks of numbers or alpha-numeric numbers for use by its various components.,subj_verb_obj_01,An agency may reserve blocks
6.302-5,Authorized or required by statute.,"Ordinarily, these purchases will involve articles desired or preferred by customers of the selling activities (but see 6.301(d)).",subj_verb_obj_01,these purchases will involve articles
6.303-2,Content.,(a) Each justification shall contain sufficient facts and rationale to justify the use of the specific authority cited.,subj_verb_obj_01,Each justification shall contain sufficient facts
6.303-2,Content.,"(c) Each justification shall include evidence that any supporting data that is the responsibility of technical or requirements personnel (e.g., verifying the Government's minimum needs or schedule requirements or other rationale for other than full and open competition) and which form a basis for the justification have been certified as complete and accurate by the technical or requirements personnel.",subj_verb_obj_01,Each justification shall include evidence
7.104,General procedures.,The planner should review previous plans for similar acquisitions and discuss them with the key personnel involved in those acquisitions.,subj_verb_obj_01,The planner should review previous plans
7.503,Policy.,"This assessment should place emphasis on the degree to which conditions and facts restrict the discretionary authority, decision-making responsibility, or accountability of Government officials using contractor services or work products.",subj_verb_obj_01,This assessment should place emphasis
8.406-2,Inspection and acceptance.,"The consignee shall limit inspection to kind, count, and condition on receipt.",subj_verb_obj_01,The consignee shall limit inspection
9.207,Changes in status regarding qualification requirements.,"(b) After considering any of the above or other conditions reasonably related to whether a product or source continues to meet the standards specified for qualification, an agency may take appropriate action without advance notification.",subj_verb_obj_01,an agency may take appropriate action
9.207,Changes in status regarding qualification requirements.,This notice shall contain specific information why the product or source no longer meets the qualification requirement.,subj_verb_obj_01,This notice shall contain specific information
9.507-2,Contract clause.,"In every case, the restriction shall specify termination by a specific date or upon the occurrence of an identifiable event.",subj_verb_obj_01,the restriction shall specify termination
12.301,Solicitation provisions and contract clauses for the acquisition of commercial items.,If the acquisition will use funds appropriated or otherwise made available by the American Recovery and Reinvestment Act of 2009 (Pub.,subj_verb_obj_01,the acquisition will use funds
12.403,Termination.,The contractor may demonstrate such charges using its standard record keeping system and is not required to comply with the cost accounting standards or the contract cost principles in part 31.,subj_verb_obj_01,The contractor may demonstrate such charges
13.004,Legal effect of quotations.,"In other circumstances, the supplier may indicate acceptance by furnishing the supplies or services ordered or by proceeding with the work to the point where substantial performance has occurred.",subj_verb_obj_01,the supplier may indicate acceptance
14.407-3,Other mistakes disclosed before award.,"(h) Each agency shall maintain records of all determinations made in accordance with this subsection 14.407-3, the facts involved, and the action taken in each case.",subj_verb_obj_01,Each agency shall maintain records
14.503-1,Step one.,"(8) A statement that (i) offerors should submit proposals that are acceptable without additional explanation or information, (ii) the Government may make a final determination regarding a proposal's acceptability solely on the basis of the proposal as submitted, and (iii) the Government may proceed with the second step without requesting further information from any offeror; however, the Government may request additional information from offerors of proposals that it considers reasonably susceptible of being made acceptable, and may discuss proposals with their offerors.",subj_verb_obj_01,the Government may request additional information
15.101,Best value continuum.,An agency can obtain best value in negotiated acquisitions by using any one or a combination of source selection approaches.,subj_verb_obj_01,An agency can obtain best value
15.102,Oral presentations.,"(d) When oral presentations are required, the solicitation shall provide offerors with sufficient information to prepare them.",subj_verb_obj_01,the solicitation shall provide offerors
15.202,Advisory multi-step process.,"At a minimum, the notice shall contain sufficient information to permit a potential offeror to make an informed decision about whether to participate in the acquisition.",subj_verb_obj_01,the notice shall contain sufficient information
15.202,Advisory multi-step process.,The agency shall advise respondents considered not to be viable competitors of the general basis for that opinion.,subj_verb_obj_01,The agency shall advise respondents
15.203,Requests for proposals.,The solicitation may authorize offerors to propose alternative terms and conditions.,subj_verb_obj_01,The solicitation may authorize offerors
15.204-5,Part IV—Representations and Instructions.,"The instructions may specify further organization of proposal or response parts, such as— (1) Administrative; (2) Management; (3) Technical; (4) Past performance; and (5) Certified cost or pricing data (see Table 15-2 of 15.408) or data other than certified cost or pricing data.",subj_verb_obj_01,The instructions may specify further organization
15.305,Proposal evaluation.,An agency shall evaluate competitive proposals and then assess their relative qualities solely on the factors and subfactors specified in the solicitation.,subj_verb_obj_01,An agency shall evaluate competitive proposals
15.306,Exchanges with offerors after receipt of proposals.,These negotiations may include bargaining.,subj_verb_obj_01,These negotiations may include bargaining
15.403-3,Requiring data other than certified cost or pricing data.,"This data may include history of sales to non-governmental and governmental entities, cost data, or any other information the contracting officer requires to determine the price is fair and reasonable.",subj_verb_obj_01,This data may include history
15.404-2,Data to support proposal analysis.,"However, the auditor may discuss statements of facts with the contractor.",subj_verb_obj_01,the auditor may discuss statements
15.404-4,Profit.,This factor should compensate contractors proportionately for assuming greater cost risks.,subj_verb_obj_01,This factor should compensate contractors
15.404-4,Profit.,"In order to foster achievement of program objectives, each agency may include additional factors in its structured approach or take them into account in the profit analysis of individual contract actions.",subj_verb_obj_01,each agency may include additional factors
15.408,Solicitation provisions and contract clauses.,That examination can take place at any time before award.,subj_verb_obj_01,That examination can take place
15.606,Agency procedures.,"The procedures shall include controls on the reproduction and disposition of proposal material, particularly data identified by the offeror as subject to duplication, use, or disclosure restrictions.",subj_verb_obj_01,The procedures shall include controls
16.306,Cost-plus-fixed-fee contracts.,"However, in the event the work cannot be completed within the estimated cost, the Government may require more effort without increase in fee, provided the Government increases the estimated cost.",subj_verb_obj_01,the Government may require more effort
16.401,General.,Each agency shall collect relevant data on award fee and incentive fees paid to contractors and include performance measures to evaluate such data on a regular basis to determine effectiveness of award and incentive fees as a tool for improving contractor performance and achieving desired program outcomes.,subj_verb_obj_01,Each agency shall collect relevant data
16.505,Ordering.,"The ombudsman must review complaints from contractors and ensure they are afforded a fair opportunity to be considered, consistent with the procedures in the contract.",subj_verb_obj_01,The ombudsman must review complaints
16.601,Time-and-materials contracts.,"The contract shall specify separate fixed hourly rates that include wages, overhead, general and administrative expenses, and profit for each category of labor (see 16.601(f)(1)).",subj_verb_obj_01,The contract shall specify separate fixed hourly rates
16.601,Time-and-materials contracts.,"For acquisitions of noncommercial items awarded without adequate price competition (see 15.403-1(c)(1)), the contract shall specify separate fixed hourly rates that include wages, overhead, general and administrative expenses, and profit for each category of labor to be performed by— (A)",subj_verb_obj_01,the contract shall specify separate fixed hourly rates
17.204,Contracts.,"(a) The contract shall specify limits on the purchase of additional supplies or services, or the overall duration of the term of the contract, including any extension.",subj_verb_obj_01,The contract shall specify limits
19.301-1,Representation by the offeror.,"(h) If the SBA determines that the status of a concern as a small business, veteran-owned small business, service-disabled veteran-owned small business, HUBZone small business, small disadvantaged business, or women-owned small business has been misrepresented in order to obtain a set-aside contract, an 8(a) subcontract, a subcontract that is to be included as part or all of a goal contained in a subcontracting plan, or a prime or subcontract to be awarded as a result, or in furtherance of any other provision of Federal law that specifically references Section 8(d) of the Small Business Act for a definition of program eligibility, the SBA may take action as specified in Sections 16(a) or 16(d) of the Act.",subj_verb_obj_01,the SBA may take action
19.703,Eligibility requirements for participating in the program.,"Except as provided in paragraph (c) of this section, to be eligible as a subcontractor under the program, a concern must represent itself as a small business, veteran-owned small business, service-disabled veteran-owned small business, HUBZone small business, small disadvantaged business, or women-owned small business concern.",subj_verb_obj_01,a concern must represent itself
19.705-7,Liquidated damages.,"The notice shall give the contractor an opportunity to demonstrate what good faith efforts have been made before the contracting officer issues the final decision, and shall further state that failure of the contractor to respond may be taken as an admission that no valid explanation exists.",subj_verb_obj_02,The notice shall give the contractor an opportunity to demonstrate
19.805-1,General.,The agency may include recommendations for competition below the threshold in the offering letter or by separate correspondence to the SBA Associate Administrator for Business Development.,subj_verb_obj_01,The agency may include recommendations
19.812,Contract administration.,(b) The agency shall distribute copies of the contract(s) in accordance with part 4.,subj_verb_obj_01,The agency shall distribute copies
22.404-3,Procedures for requesting wage determinations.,"If there is a general wage determination on the WDOL website applicable to the project, the agency may use it without notifying the Department of Labor.",subj_verb_obj_01,the agency may use it
22.1009-2,Attempt to identify possible places of performance.,The following may indicate possible places of performance: (a) Locations of previous contractors and their competitors.,subj_verb_obj_01,The following may indicate possible places
22.1015,Discovery of errors by the Department of Labor.,"If the contract is subject to 41 U.S.C. 6707(f), the Administrator may require retroactive application of that wage determination.",subj_verb_obj_01,the Administrator may require retroactive application
22.1406,Complaint procedures.,(b) The OFCCP shall institute investigation of each complaint and shall be responsible for developing a complete case record.,subj_verb_obj_01,The OFCCP shall institute investigation
22.1504,Violations and remedies.,The Government may impose remedies set forth in paragraph (b) of this section for the following violations (note that the violations in paragraphs (a)(3) and (a)(4) of this section go beyond violations of the requirements relating to certification of end products) (see 22.1503): (1) The contractor has submitted a false certification regarding knowledge of the use of forced or indentured child labor.,subj_verb_obj_01,The Government may impose remedies
22.1604,Compliance evaluation and complaint investigations and sanctions for violations.,"(c) If the Secretary determines that there has been a violation, the Secretary may take such actions as set forth in 29 CFR 471.14.",subj_verb_obj_01,the Secretary may take such actions
22.1904,Annual Executive Order Minimum Wage Rate.,The notice will provide information on the E.O. minimum wage and how to obtain annual updates.,subj_verb_obj_01,The notice will provide information
22.1905,Enforcement of Executive Order Minimum Wage Requirements.,"If the contractor does not remedy the violation, the Administrator may direct withholding of payments due on the contract or any other contract between the contractor and the Federal Government.",subj_verb_obj_01,the Administrator may direct withholding
22.2102,Policy.,(a) The Government shall require contractors to allow employees performing work on or in connection with a contract covered by E.O. 13706 to accrue and use paid sick leave in accordance with the E.O. and 29 CFR part 13.,subj_verb_obj_01,The Government shall require contractors
25.703-2,Iran Sanctions Act.,"Upon the determination of a false certification under paragraph (a) of this subsection, the agency shall take one or more of the following actions: (1) The contracting officer terminates the contract in accordance with procedures in part 49, or for commercial items, see 12.403.",subj_verb_obj_01,the agency shall take one
26.103,Procedures.,The BIA will acknowledge receipt of the request from the contracting officer within 5 working days.,subj_verb_obj_01,The BIA will acknowledge receipt
26.204,Justification for expenditures to other than local firms.,"The justification should include consideration for the scope of the major disaster or emergency and the immediate requirements or needs of supplies and services to ensure life is protected, victims are cared for, and property is protected.",subj_verb_obj_01,The justification should include consideration
27.302,Policy.,The Government may require additional rights in order to comply with treaties or other international agreements.,subj_verb_obj_01,The Government may require additional rights
27.302,Policy.,"The agency shall provide the contractor an opportunity to dispute or appeal the proposed action, in accordance with 27.304-1(g).",subj_verb_obj_02,The agency shall provide the contractor an opportunity to dispute
27.404-3,Copyrighted works.,"(1) Generally, the contractor must obtain permission of the contracting officer prior to asserting rights in any copyrighted work containing data first produced in the performance of a contract.",subj_verb_obj_01,the contractor must obtain permission
27.409,Solicitation provisions and contract clauses,"When Alternate IV is used, the contract may exclude items or categories of data from the permission granted, either by express provisions in the contract or by the addition of a paragraph (d)(4) to the clause (see 27.404-4).",subj_verb_obj_01,the contract may exclude items
28.203-2,Acceptability of assets.,"(a) The Government will accept only cash, readily marketable assets, or irrevocable letters of credit from a federally insured financial institution from individual sureties to satisfy the underlying bond obligations.",subj_verb_obj_01,The Government will accept only cash
28.204-3,Irrevocable letter of credit.,"The ILC shall provide that, unless the issuer provides the beneficiary written notice of non-renewal at least 60 days in advance of the current expiration date, the ILC is automatically extended without amendment for one year from the expiration date, or any future expiration date, until the period of required coverage is completed and the contracting officer provides the financial institution with a written statement waiving the right to payment.",subj_verb_obj_01,The ILC shall provide that
28.308,Self-insurance.,"(d) To qualify for a self-insurance program, a contractor must demonstrate ability to sustain the potential losses involved.",subj_verb_obj_01,a contractor must demonstrate ability
30.603-2,Unilateral and desirable changes.,"(2) Prior to making any contract price or cost adjustments under the applicable paragraph(s) addressing a unilateral change at 52.230-2, 52.230-3, or 52.230-5, the CFAO shall determine that— (i)",subj_verb_obj_01,the CFAO shall determine that
30.603-2,Unilateral and desirable changes.,"(2) If a contractor implements the change in cost accounting practice without submitting the notice as required in paragraph (c)(1) of this subsection, the CFAO may determine the change a failure to follow a cost accounting practice consistently and process it as a noncompliance in accordance with 30.605.",subj_verb_obj_02,the CFAO may determine the change a failure to follow
30.603-2,Unilateral and desirable changes.,"(1) If a contractor requests that a unilateral change be retroactive, the contractor shall submit supporting rationale.",subj_verb_obj_01,the contractor shall submit supporting rationale
30.606,Resolving cost impacts.,"In adjusting contract prices, the CFAO shall preclude payment of aggregate increased costs by disallowing costs on flexibly-priced contracts.",subj_verb_obj_01,the CFAO shall preclude payment
31.203,Indirect costs.,The contractor shall accumulate indirect costs by logical cost groupings with due consideration of the reasons for incurring such costs.,subj_verb_obj_01,The contractor shall accumulate indirect costs
31.205-6,Compensation for personal services.,"Thus, the Government will consider allowability on a case-by-case basis.",subj_verb_obj_01,the Government will consider allowability
31.205-6,Compensation for personal services.,The contractor shall make determinations of unallowable costs in accordance with the actuarial method used in calculating pension costs.,subj_verb_obj_01,The contractor shall make determinations
31.205-26,Material costs.,"In computing material costs, the contractor shall consider reasonable overruns, spoilage, or defective work (unless otherwise provided in any contract provision relating to inspecting and correcting defective work).",subj_verb_obj_01,the contractor shall consider reasonable overruns
32.001,Definitions.,The contract might designate different offices to receive invoices and contract financing requests.,subj_verb_obj_01,The contract might designate different offices
32.005,Consideration for contract financing.,"The contractor may provide new consideration by monetary or nonmonetary means, provided the value is adequate.",subj_verb_obj_01,The contractor may provide new consideration
32.304-1,Application for guarantee.,The Board will transmit them to the interested guaranteeing agency.,subj_verb_obj_01,The Board will transmit them
32.305,Loan guarantees for terminated contracts.,The agency shall take precautions necessary to avoid Government losses and to ensure the loans will be self-liquidating from the proceeds of defense production contracts.,subj_verb_obj_01,The agency shall take precautions
32.406,Letters of credit.,"(c) If the agency has entered into multiple contracts (or a combination of contract(s) and assistance agreement(s)) involving eligibility of a contractor for more than one letter of credit, the agency shall follow arrangements made under Treasury procedures for (1) consolidating funding to the same contractor under one letter of credit or (2) replacing multiple letters of credit with a single letter of credit.",subj_verb_obj_01,the agency shall follow arrangements
32.503-14,Protection of Government title.,"(b) If the ACO becomes aware of any arrangement or condition that would impair the Government's title to the property affected by progress payment, the ACO shall require additional protective provisions (see 32.501-5) to establish and protect the Government's title.",subj_verb_obj_01,the ACO shall require additional protective provisions
32.607,Installment payments and deferment of collection.,The arrangement shall include appropriate covenants and securities and should be limited to the shortest practicable maturity; and (2) The deferment/installment agreement shall include a specific schedule or plan for payment.,subj_verb_obj_01,The arrangement shall include appropriate covenants
32.1106,EFT mechanisms.,The Government shall provide payment by other than EFT for payments received by or on behalf of the contractor outside the United States and Puerto Rico or for contracts paid in other than United States currency.,subj_verb_obj_01,The Government shall provide payment
33.103,Protests to the agency.,"To the extent permitted by law and regulation, the parties may exchange relevant information.",subj_verb_obj_01,the parties may exchange relevant information
33.104,Protests to GAO.,"(2) Immediately after receipt of the GAO's written notice that a protest has been filed, the agency shall give notice of the protest to the contractor if the award has been made, or, if no award has been made, to all parties who appear to have a reasonable prospect of receiving award if the protest is denied.",subj_verb_obj_01,the agency shall give notice
33.104,Protests to GAO.,"The agency shall furnish copies of the protest submissions to such parties with instructions to (i) communicate directly with the GAO, and (ii) provide copies of any such communication to the agency and to other participating parties when they become known.",subj_verb_obj_01,The agency shall furnish copies
33.104,Protests to GAO.,"At the same time the agency submits its report to the GAO, the agency shall furnish copies of its report to the protester and any intervenors.",subj_verb_obj_01,the agency shall furnish copies
33.104,Protests to GAO.,"(5) The GAO may issue protective orders which establish terms, conditions, and restrictions for the provision of any document to an interested party.",subj_verb_obj_01,The GAO may issue protective orders
33.104,Protests to GAO.,The GAO may impose appropriate sanctions for any violation of the terms of the protective order.,subj_verb_obj_01,The GAO may impose appropriate sanctions
33.104,Protests to GAO.,All parties may file comments on the hearing and the agency report within 5 days of the hearing.,subj_verb_obj_01,All parties may file comments
33.104,Protests to GAO.,The agency shall use funds available for the procurement to pay the costs awarded.,subj_verb_obj_01,The agency shall use funds
33.208,Interest on claims.,"(a) The Government shall pay interest on a contractor's claim on the amount found due and unpaid from the date that— (1) The contracting officer receives the claim (certified if required by 33.207(a)); or (2) Payment otherwise would be due, if that date is later, until the date of payment.",subj_verb_obj_01,The Government shall pay interest
35.007,Solicitations.,The solicitation should require offerors to include in the proposal any planned subcontracting of scientific or technical work (see 35.009).,subj_verb_obj_01,The solicitation should require offerors
35.017,Federally Funded Research and Development Centers.,"However, an FFRDC may perform work for other than the sponsoring agency under the Economy Act, or other applicable legislation, when the work is not otherwise available from the private sector.",subj_verb_obj_01,an FFRDC may perform work
36.210,Inspection of site and examination of data.,The solicitation should notify offerors of the time and place for the site inspection and data examination.,subj_verb_obj_01,The solicitation should notify offerors
37.115-2,General policy.,"(b) When professional or technical services are acquired on the basis of the number of hours to be provided, rather than on the task to be performed, the solicitation shall require offerors to identify uncompensated overtime hours and the uncompensated overtime rate for direct charge Fair Labor Standards Act—exempt personnel included in their proposals and subcontractor proposals.",subj_verb_obj_01,the solicitation shall require offerors
39.102,Management of risk.,"(a) Prior to entering into a contract for information technology, an agency should analyze risks, benefits, and costs.",subj_verb_obj_01,an agency should analyze risks
41.205,Separate contracts.,"(d) A contract exceeding a 1-year period, but not exceeding ten years (except pursuant to 41.103), may be justified, and is usually required, where any of the following circumstances exist: (1) The Government will obtain lower rates, larger discounts, or more favorable terms and conditions of service; (2) A proposed connection charge, termination liability, or any other facilities charge to be paid by the Federal Government will be reduced or eliminated; or (3) The utility service supplier refuses to render the desired service except under a contract exceeding a 1-year period.",subj_verb_obj_01,The Government will obtain lower rates
42.503-3,Postaward conference report.,"The chairperson shall furnish copies of the report to the contracting office, the contract administration office, the contractor, and others who require the information.",subj_verb_obj_01,The chairperson shall furnish copies
42.803,Disallowing costs after incurrence.,"The auditor shall forward approved vouchers for payment to the cognizant contracting, finance, or disbursing officer, as appropriate under the agency's procedures.",subj_verb_obj_01,The auditor shall forward approved vouchers
42.1103,Policy.,The Government will maintain surveillance of contractor performance as necessary to protect its interests.,subj_verb_obj_01,The Government will maintain surveillance
42.1503,Procedures.,"The evaluation should include clear relevant information that accurately depicts the contractor's performance, and be based on objective facts supported by program and contract or order performance data.",subj_verb_obj_01,The evaluation should include clear relevant information
42.1503,Procedures.,"The Government shall update CPARS with any contractor comments provided after 14 days, as well as any subsequent agency review of comments received.",subj_verb_obj_01,The Government shall update CPARS
42.1701,Procedures.,"The FPRA shall provide specific terms and conditions covering expiration, application, and data requirements for systematic monitoring to ensure the validity of the rates.",subj_verb_obj_01,The FPRA shall provide specific terms
42.1701,Procedures.,"In the absence of an FPRA or FPRR, the ACO shall include support for rates utilized.",subj_verb_obj_01,the ACO shall include support
42.1701,Procedures.,The ACO may negotiate continuous updates to the FPRA.,subj_verb_obj_01,The ACO may negotiate continuous updates
42.1701,Procedures.,"The FPRA will provide specific terms and conditions covering notification, application, and data requirements for systematic monitoring to ensure the validity of the rates.",subj_verb_obj_01,The FPRA will provide specific terms
43.201,General.,"(b) The contractor must continue performance of the contract as changed, except that in cost-reimbursement or incrementally funded contracts the contractor is not obligated to continue performance or incur costs beyond the limits established in the Limitation of Cost or Limitation of Funds clause (see 32.706-2).",subj_verb_obj_01,The contractor must continue performance
44.304,Surveillance.,"The plan should cover pertinent phases of a contractor's purchasing system (preaward, postaward, performance, and contract completion) and pertinent operations that affect the contractor's purchasing and subcontracting.",subj_verb_obj_01,The plan should cover pertinent phases
44.305-3,Withholding or withdrawing approval.,The ACO may withdraw approval at any time on the basis of a determination that there has been a deterioration of the contractor's purchasing system or to protect the Government's interest.,subj_verb_obj_01,The ACO may withdraw approval
45.606,Contractor scrap procedures.,"(c) Absent contract terms and conditions to the contrary, the Government may abandon parts removed and replaced from property as a result of normal maintenance actions or removed from property as a result of the repair, maintenance, overhaul, or modification process.",subj_verb_obj_01,the Government may abandon parts
46.404,Government contract quality assurance for acquisitions at or below the simplified acquisition threshold.,"(b) When the conditions in 46.202-2(b) apply, the following policies shall govern: (1) Unless a special situation exists, the Government shall inspect contracts at or below the simplified acquisition threshold at destination and only for type and kind; quantity; damage; operability (if readily determinable); and preservation, packaging, packing, and marking, if applicable.",subj_verb_obj_01,the Government shall inspect contracts
46.706,Warranty terms and conditions.,"(ii) If it is not practical to direct the contractor to make the repair or replacement, or, because of the nature of the item, the repair or replacement does not afford an appropriate remedy to the Government, the warranty should provide alternate remedies, such as authorizing the Government to— (A) Retain the defective item and reduce the contract price by an amount equitable under the circumstances; or (B) Arrange for the repair or replacement of the defective item, by the Government or by another source, at the contractor's expense.",subj_verb_obj_01,the warranty should provide alternate remedies
46.803,Policy.,"In contracts requiring delivery of high-value items, the Government will relieve contractors of contractual liability for loss of or damage to those items.",subj_verb_obj_01,the Government will relieve contractors
47.101,Policies.,"(h) When a contract specifies delivery of supplies f.o.b. origin with transportation costs to be paid by the Government, the contractor shall make shipments on bills of lading, or on other shipping documents prescribed by Military Surface Deployment and Distribution Command (SDDC) in the case of seavan containers, either at the direction of or furnished by the CAO or the appropriate agency transportation office.",subj_verb_obj_01,the contractor shall make shipments
47.305-9,Commodity description and freight classification.,The solicitation shall contain adequate descriptions of explosives and other dangerous supplies according to (1) the regular freight classification and (2) the hazardous material description and hazard class as shown in 49 CFR 172.101.,subj_verb_obj_01,The solicitation shall contain adequate descriptions
48.104-4,Sharing alternative—no-cost settlement method.,"Under this method of settlement, the contractor would keep all of the savings on the instant contract, and all savings on its concurrent contracts only.",subj_verb_obj_01,the contractor would keep all
49.105-2,Release of excess funds.,(b) The TCO shall maintain continuous surveillance of required funds to permit timely release of any additional excess funds (a recommended format for release of excess funds is in 49.604).,subj_verb_obj_01,The TCO shall maintain continuous surveillance
49.105-3,Termination case file.,This file will include memoranda and records of all actions relative to the settlement (see 4.801).,subj_verb_obj_01,This file will include memoranda
49.106,Fraud or other criminal conduct.,"If the TCO suspects fraud or other criminal conduct related to the settlement of a terminated contract, the TCO shall discontinue negotiations and report the facts under agency procedures.",subj_verb_obj_01,the TCO shall discontinue negotiations
49.108-1,Subcontractor's rights.,A subcontractor may have rights against the prime contractor or intermediate subcontractor with whom it has contracted.,subj_verb_obj_01,A subcontractor may have rights
49.108-2,Prime contractor's rights and obligations.,The TCO shall allow reimbursement in excess of that amount only in unusual cases and then only to the extent that the terms of the subcontract did not unreasonably increase the rights of the subcontractor.,subj_verb_obj_01,The TCO shall allow reimbursement
49.109-7,Settlement by determination.,"(2) The contractor may submit vouchers, verified transcripts of books of account, affidavits, audit reports, and other documents as desired.",subj_verb_obj_01,The contractor may submit vouchers
49.109-7,Settlement by determination.,(3) The TCO may accept copies of documents and records without requiring original documents unless there is a question of authenticity.,subj_verb_obj_01,The TCO may accept copies
49.109-7,Settlement by determination.,"The TCO shall return books of account, together with other original papers and documents, to the contractor within a reasonable time.",subj_verb_obj_01,The TCO shall return books
49.109-7,Settlement by determination.,"The TCO shall give effect to a decision of the Claims Court or a board of contract appeals, when necessary, by an appropriate modification to the contract.",subj_verb_obj_01,The TCO shall give effect
49.110,Settlement negotiation memorandum.,"The memorandum shall include explanations of matters involving differences and doubtful questions settled by agreement, and the factors considered.",subj_verb_obj_01,The memorandum shall include explanations
49.111,Review of proposed settlements.,"Each agency shall establish procedures, when necessary, for the administrative review of proposed termination settlements.",subj_verb_obj_01,Each agency shall establish procedures
49.112-1,Partial payments.,The Government will process applications for partial payments promptly.,subj_verb_obj_01,The Government will process applications
49.112-2,Final payment.,"Pending determination of any appeal, the contractor may submit vouchers or invoices for charges that are not directly involved with the portion being appealed, without prejudice to the rights of either party on the appeal.",subj_verb_obj_01,the contractor may submit vouchers
49.202,Profit.,(a) The TCO shall allow profit on preparations made and work done by the contractor for the terminated portion of the contract but not on the settlement expenses.,subj_verb_obj_01,The TCO shall allow profit
49.205,Completed end items.,"When completed end items, though accepted, are not to be delivered under the contract, the contractor shall include them in the settlement proposal at the contract price, adjusted for any saving of freight or other charges, together with any credits for their purchase, retention, or sale.",subj_verb_obj_01,the contractor shall include them
50.205-2,Pre-qualification designation notice.,"In either case, the notice will authorize offerors to— (i) Submit a streamlined application for SAFETY Act designation; and (ii) Receive expedited review of their application for SAFETY Act designation.",subj_verb_obj_01,the notice will authorize offerors
51.102,Authorization to use Government supply sources.,"Shall, when practicable, limit the period of the authorization; (3) Shall specify, as appropriate, that— (i) When requisitioning from GSA or DOD, the contractor shall use FEDSTRIP or MILSTRIP, as appropriate, and include the activity address code assigned by GSA or DOD; (ii) When requisitioning from the VA, the contractor should use FEDSTRIP or MILSTRIP, as appropriate, Optional Form 347, Order for Supplies or Services (see 53.302-347), or an agency-approved form; and (iii) When placing orders for helium with the Bureau of Land Management, the contractor shall reference the Federal contract number on the purchase order; (4) May include any other limitations or conditions deemed necessary.",subj_verb_obj_01,the contractor shall use FEDSTRIP
